analysis,outcome_name,specification,coefficient,standard_error,p_value,q_value_bh,ci_low,ci_high,occupation_clusters
continuous_pooled,wage,exposure_z_post,-0.0024793431837272072,0.006167818984676863,0.6878711600524706,0.7041954243715027,-0.014597556983046588,0.009638870615592173,498
continuous_pooled,wage,complementarity_z_post,-0.0013113742271644267,0.003452058454131091,0.7041954243715027,0.7041954243715027,-0.008093801289118834,0.005471052834789982,498
continuous_pooled,wage,ec_interaction_post,-0.0019649150408755957,0.003524765159475873,0.5774642655302733,0.7041954243715027,-0.008890192501358415,0.004960362419607223,498
continuous_pooled,employment,exposure_z_post,-0.012936937995523434,0.011535610788796625,0.2626258476085439,0.39393877141281586,-0.03560151330028921,0.009727637309242348,498
continuous_pooled,employment,complementarity_z_post,-0.0024439377160755055,0.007878677615377482,0.7565416116061036,0.7565416116061036,-0.017923558638196026,0.013035683206045017,498
continuous_pooled,employment,ec_interaction_post,-0.010430837396183352,0.0076848621251126275,0.17529474786434138,0.39393877141281586,-0.02552965960250426,0.004667984810137558,498
continuous_dynamic,wage,exposure_z_y2023,0.0015208959007497152,0.005924956530130359,0.797521866232922,0.9570262394795064,-0.010120154227694488,0.013161946029193919,498
continuous_dynamic,wage,exposure_z_y2024,-0.006479582268228826,0.00731258450391812,0.37599945778959726,0.9570262394795064,-0.02084697253441905,0.0078878079979614,498
continuous_dynamic,wage,complementarity_z_y2023,-0.002583238174432119,0.0032240013522348713,0.42336854699571086,0.9570262394795064,-0.008917590361605431,0.003751114012741192,498
continuous_dynamic,wage,complementarity_z_y2024,-3.951027988178396e-05,0.004305508620786461,0.9926818528307797,0.9926818528307797,-0.008498752373582195,0.008419731813818627,498
continuous_dynamic,wage,ec_interaction_y2023,-0.000927952549084507,0.0034316408155704065,0.7869565289477912,0.9570262394795064,-0.007670264083983031,0.005814358985814017,498
continuous_dynamic,wage,ec_interaction_y2024,-0.0030018775326926973,0.004244006476797227,0.47969815610397326,0.9570262394795064,-0.011340283374254443,0.0053365283088690485,498
continuous_dynamic,employment,exposure_z_y2023,-0.007557176274765154,0.011783459777516499,0.521598979299804,0.6259187751597648,-0.030708712536510103,0.015594359986979795,498
continuous_dynamic,employment,exposure_z_y2024,-0.01831669971620676,0.014500052333847617,0.20710379494536504,0.6213113848360952,-0.04680565743682495,0.010172258004411436,498
continuous_dynamic,employment,complementarity_z_y2023,-0.006055672041485459,0.008070414366078662,0.45339628078101624,0.6259187751597648,-0.021912007478729744,0.009800663395758826,498
continuous_dynamic,employment,complementarity_z_y2024,0.0011677966093523,0.009827497290442501,0.9054584482320235,0.9054584482320235,-0.018140765067584372,0.020476358286288972,498
continuous_dynamic,employment,ec_interaction_y2023,-0.012564668083561046,0.00844787203645487,0.1375651078649885,0.6213113848360952,-0.029162612955384346,0.004033276788262255,498
continuous_dynamic,employment,ec_interaction_y2024,-0.00829700670877562,0.009408341371854742,0.3782692335827481,0.6259187751597648,-0.026782032375768466,0.010188018958217224,498
exposure_adjusted_HEHC_vs_HELC,wage,high_c_post,0.011219632690126456,0.009730555383500622,0.25000774201083326,0.9538819774702559,-0.007945432289476698,0.03038469766972961,249
exposure_adjusted_HEHC_vs_HELC,wage,high_c_y2023,0.008924134490591944,0.009893096713105336,0.36790197488005827,0.36790197488005827,-0.01056106793450867,0.028409336915692557,249
exposure_adjusted_HEHC_vs_HELC,wage,high_c_y2024,0.013515130889669977,0.011209197684839748,0.2290753521225873,0.36790197488005827,-0.00856223196707238,0.03559249374641234,249
exposure_adjusted_HEHC_vs_HELC,employment,high_c_post,-0.005245957580271909,0.0199361251305754,0.7926624885156345,0.8231162607833049,-0.044511664265096576,0.03401974910455276,249
exposure_adjusted_HEHC_vs_HELC,employment,high_c_y2023,-0.004507941109242713,0.021395795441259878,0.8332999660729669,0.8332999660729669,-0.04664857890031236,0.037632696681826935,249
exposure_adjusted_HEHC_vs_HELC,employment,high_c_y2024,-0.005983974051342988,0.02380287590198363,0.8017152920800286,0.8332999660729669,-0.05286553891417323,0.04089759081148725,249
