robustness,robustness_label,model_type,outcome,term,coefficient,standard_error,p_value,ci_low,ci_high,occupation_year_cells,occupation_clusters,r_squared,weight_col,q_value_bh,reject_fdr_5pct
model_rated_exposure,GPT/model-rated exposure,pooled,mean_log_real_wage_2024,robust_exposure_post,-0.0050955631962361445,0.007329110319545556,0.4872236349483994,-0.019495422535769625,0.009304296143297336,1494,498,0.9987855469757667,baseline_wage_weight,0.8029122930944869,False
model_rated_exposure,GPT/model-rated exposure,pooled,mean_log_real_wage_2024,robust_complementarity_post,-0.0008961212111969069,0.0035886010807724767,0.8029122930944869,-0.007946820209547588,0.006154577787153774,1494,498,0.9987855469757667,baseline_wage_weight,0.8029122930944869,False
model_rated_exposure,GPT/model-rated exposure,pooled,mean_log_real_wage_2024,robust_interaction_post,-0.0017285201026797977,0.004029405402992131,0.6681262276723139,-0.009645288781997566,0.00618824857663797,1494,498,0.9987855469757667,baseline_wage_weight,0.8029122930944869,False
model_rated_exposure,GPT/model-rated exposure,pooled,log_employment,robust_exposure_post,-0.01357595158820913,0.011935769560471694,0.25591190404054354,-0.03702673828485894,0.009874835108440679,1494,498,0.9973029383936635,none,0.3838678560608153,False
model_rated_exposure,GPT/model-rated exposure,pooled,log_employment,robust_complementarity_post,-0.0019198558676484655,0.008003101258285163,0.8105152234949592,-0.017643937969675748,0.013804226234378818,1494,498,0.9973029383936635,none,0.8105152234949592,False
model_rated_exposure,GPT/model-rated exposure,pooled,log_employment,robust_interaction_post,-0.009679749323280033,0.008201204964004302,0.23845194569902645,-0.02579305540647572,0.006433556759915655,1494,498,0.9973029383936635,none,0.3838678560608153,False
no_jobzone_complementarity,Complementarity excluding Job Zones,pooled,mean_log_real_wage_2024,robust_exposure_post,-0.0038214523921391045,0.006067564192494243,0.5291040401173053,-0.01574269072750703,0.00809978594322882,1494,498,0.9987872165914887,baseline_wage_weight,0.5291040401173053,False
no_jobzone_complementarity,Complementarity excluding Job Zones,pooled,mean_log_real_wage_2024,robust_complementarity_post,-0.002300730628703316,0.003375993871059112,0.4958743171577684,-0.008933709906520034,0.004332248649113402,1494,498,0.9987872165914887,baseline_wage_weight,0.5291040401173053,False
no_jobzone_complementarity,Complementarity excluding Job Zones,pooled,mean_log_real_wage_2024,robust_interaction_post,-0.003618140638000429,0.003362193948956003,0.28239349794877117,-0.01022400653799674,0.0029877252619958817,1494,498,0.9987872165914887,baseline_wage_weight,0.5291040401173053,False
no_jobzone_complementarity,Complementarity excluding Job Zones,pooled,log_employment,robust_exposure_post,-0.015062644941797518,0.011754419271103208,0.20063484848756372,-0.038157123908827584,0.008031834025232547,1494,498,0.9973058238039444,none,0.3009522727313456,False
no_jobzone_complementarity,Complementarity excluding Job Zones,pooled,log_employment,robust_complementarity_post,-0.005163741573761661,0.007814766178781492,0.5090677437909525,-0.020517792589434543,0.01019030944191122,1494,498,0.9973058238039444,none,0.5090677437909525,False
no_jobzone_complementarity,Complementarity excluding Job Zones,pooled,log_employment,robust_interaction_post,-0.011034776047288548,0.008277883913686961,0.18312838765609227,-0.027298736990568524,0.005229184895991428,1494,498,0.9973058238039444,none,0.3009522727313456,False
oews_weighted_mapping,OEWS-employment-weighted mapping,pooled,mean_log_real_wage_2024,robust_exposure_post,0.0003567687480663202,0.0057388675649244015,0.9504548059047152,-0.010918718836519185,0.011632256332651827,1491,497,0.9987874271369654,baseline_wage_weight,0.9504548059047152,False
oews_weighted_mapping,OEWS-employment-weighted mapping,pooled,mean_log_real_wage_2024,robust_complementarity_post,-0.0016029431924238589,0.00339321943419442,0.6368519555787892,-0.008269799182598191,0.0050639127977504745,1491,497,0.9987874271369654,baseline_wage_weight,0.9504548059047152,False
oews_weighted_mapping,OEWS-employment-weighted mapping,pooled,mean_log_real_wage_2024,robust_interaction_post,-0.0010496484974664051,0.0034465349905003118,0.7608352598996003,-0.00782125666851813,0.00572195967358532,1491,497,0.9987874271369654,baseline_wage_weight,0.9504548059047152,False
oews_weighted_mapping,OEWS-employment-weighted mapping,pooled,log_employment,robust_exposure_post,-0.01431845177586312,0.011222623205050467,0.2026035626451685,-0.03636819367763407,0.007731290125907824,1491,497,0.9973052878896591,none,0.30390534396775276,False
oews_weighted_mapping,OEWS-employment-weighted mapping,pooled,log_employment,robust_complementarity_post,-0.0025000190338428114,0.007959264939295876,0.753575827261319,-0.018138050751802415,0.01313801268411679,1491,497,0.9973052878896591,none,0.753575827261319,False
oews_weighted_mapping,OEWS-employment-weighted mapping,pooled,log_employment,robust_interaction_post,-0.012540082871885053,0.00772678571159889,0.10523834077490436,-0.02772134910154645,0.002641183357776347,1491,497,0.9973052878896591,none,0.30390534396775276,False
